Number of good coordinates: 890
1: lat: 41.5222931, lng: -83.735321
1: lat: 32.632934, lng: -97.12234
1: lat: 41.8865, lng: -87.6245
1: lat: 61.194316, lng: -149.966072
1: lat: 27.94664142, lng: -81.80087893
1: lat: 41.2651653, lng: -96.0948205
1: lat: 38.268827, lng: -85.7232947
1: lat: 32.9909897, lng: -96.8830566
1: lat: 33.6627846, lng: -84.8301544
1: lat: 42.5029297, lng: -83.1103973
1: lat: 42.7748, lng: -112.8849
1: lat: 41.603687, lng: -85.875509
1: lat: 47.6019859, lng: -94.8031998
1: lat: 37.4757423, lng: -77.4818192
1: lat: 36.777619, lng: -119.738909
1: lat: 39.2832069, lng: -81.6789703
1: lat: 39.0427742, lng: -82.1307755
1: lat: 33.6274033, lng: -91.786499
1: lat: 26.30684561, lng: -97.94472375
1: lat: 33.5745697, lng: -83.9828491
1: lat: 41.6995049, lng: -88.1630707
1: lat: 43.06301, lng: -76.151088
1: lat: 49.2536, lng: -122.9085
1: lat: 35.385092, lng: -118.984989
1: lat: 28.398243, lng: -97.7594225
1: lat: 38.7997856, lng: -76.9878006
1: lat: 32.5309753, lng: -86.3749161
1: lat: 42.0241089, lng: -93.6425629
1: lat: 41.752018, lng: -91.5906677
1: lat: 43.4480019, lng: -83.9116821
1: lat: 34.9763168, lng: -89.9788557
1: lat: 34.3179649, lng: -81.5862525
1: lat: 53.3981, lng: -117.5552
1: lat: 39.8349457, lng: -86.0042877
1: lat: 38.7027027027, lng: -104.681699267
1: lat: 39.3581505, lng: -76.5013962
1: lat: 45.7099448, lng: 21.0963253
1: lat: 43.608313, lng: -116.246562
1: lat: 34.1163826, lng: -85.0610275
